country	date	category	type	confirmed	probable	suspected	total	label
United Kingdom	2015-01-06	deaths	2015-01-06-deaths	0	0	0	0	United Kingdom-deaths-2015-01-06
Liberia	2014-11-26	deaths	2014-11-26-deaths	0	319	0	3016	Liberia-deaths-2014-11-26
Nigeria	2015-01-05	cases	2015-01-05-cases	19	1	0	20	Nigeria-cases-2015-01-05
Guinea	2014-09-24	deaths	2014-09-24-deaths	468	162	5	635	Guinea-deaths-2014-09-24
Nigeria	2014-12-26	deaths	2014-12-26-deaths	7	1	0	8	Nigeria-deaths-2014-12-26
United States of America	2014-10-29	deaths	2014-10-29-deaths	1	0	0	1	United States of America-deaths-2014-10-29
Mali	2014-12-10	deaths	2014-12-10-deaths	0	0	0	6	Mali-deaths-2014-12-10
Sierra Leone	2014-11-26	deaths	2014-11-26-deaths	1189	174	35	1398	Sierra Leone-deaths-2014-11-26
Sierra Leone	2014-12-29	deaths	2014-12-29-deaths	2366	208	158	2732	Sierra Leone-deaths-2014-12-29
United States of America	2014-10-31	cases	2014-10-31-cases	4	0	0	4	United States of America-cases-2014-10-31
Mali	2015-03-10	cases	2015-03-10-cases	7	1	0	8	Mali-cases-2015-03-10
Senegal	2015-02-05	deaths	2015-02-05-deaths	0	0	0	0	Senegal-deaths-2015-02-05
United States of America	2015-01-23	cases	2015-01-23-cases	4	0	0	4	United States of America-cases-2015-01-23
Mali	2015-03-10	deaths	2015-03-10-deaths	0	0	0	6	Mali-deaths-2015-03-10
Guinea	2015-01-20	cases	2015-01-20-cases	2539	319	13	2871	Guinea-cases-2015-01-20
United States of America	2015-01-16	deaths	2015-01-16-deaths	1	0	0	1	United States of America-deaths-2015-01-16
Spain	2014-12-01	cases	2014-12-01-cases	1	0	0	1	Spain-cases-2014-12-01
Guinea	2014-09-05	deaths	2014-09-05-deaths	362	26	3	33	Guinea-deaths-2014-09-05
Spain	2015-02-11	cases	2015-02-11-cases	1	0	0	1	Spain-cases-2015-02-11
United States of America	2015-01-21	deaths	2015-01-21-deaths	1	0	0	1	United States of America-deaths-2015-01-21
United States of America	2015-01-06	deaths	2015-01-06-deaths	1	0	0	1	United States of America-deaths-2015-01-06
United Kingdom	2015-02-06	deaths	2015-02-06-deaths	0	0	0	0	United Kingdom-deaths-2015-02-06
Guinea	2014-10-08	deaths	2014-10-08-deaths	587	179	2	768	Guinea-deaths-2014-10-08
Liberia	2014-12-24	deaths	2014-12-24-deaths	0	0	0	3384	Liberia-deaths-2014-12-24
Mali	2014-11-14	cases	2014-11-14-cases	3	1	0	4	Mali-cases-2014-11-14
Mali	2014-11-07	deaths	2014-11-07-deaths	1	0	0	1	Mali-deaths-2014-11-07
Spain	2015-01-28	deaths	2015-01-28-deaths	0	0	0	0	Spain-deaths-2015-01-28
Nigeria	2014-10-29	cases	2014-10-29-cases	19	1	0	20	Nigeria-cases-2014-10-29
Guinea	2014-11-05	cases	2014-11-05-cases	1457	204	70	1731	Guinea-cases-2014-11-05
Sierra Leone	2014-10-17	deaths	2014-10-17-deaths	932	161	107	1200	Sierra Leone-deaths-2014-10-17
Senegal	2015-01-26	cases	2015-01-26-cases	1	0	0	1	Senegal-cases-2015-01-26
United States of America	2014-10-10	deaths	2014-10-10-deaths	0	0	0	0	United States of America-deaths-2014-10-10
Liberia	2015-02-19	cases	2015-02-19-cases	3152	1882	4062	9096	Liberia-cases-2015-02-19
United States of America	2015-01-21	cases	2015-01-21-cases	4	0	0	4	United States of America-cases-2015-01-21
Liberia	2015-01-12	cases	2015-01-12-cases	3123	1833	3322	8278	Liberia-cases-2015-01-12
Sierra Leone	2014-12-22	deaths	2014-12-22-deaths	2190	208	158	2556	Sierra Leone-deaths-2014-12-22
United Kingdom	2015-01-15	cases	2015-01-15-cases	1	0	0	1	United Kingdom-cases-2015-01-15
United Kingdom	2015-01-14	deaths	2015-01-14-deaths	0	0	0	0	United Kingdom-deaths-2015-01-14
Sierra Leone	2015-01-07	cases	2015-01-07-cases	7602	287	1819	9780	Sierra Leone-cases-2015-01-07
Nigeria	2015-02-04	cases	2015-02-04-cases	19	1	0	20	Nigeria-cases-2015-02-04
Mali	2015-03-02	cases	2015-03-02-cases	7	1	0	8	Mali-cases-2015-03-02
Spain	2015-02-04	cases	2015-02-04-cases	1	0	0	1	Spain-cases-2015-02-04
United Kingdom	2015-02-25	deaths	2015-02-25-deaths	0	0	0	0	United Kingdom-deaths-2015-02-25
Senegal	2014-10-29	cases	2014-10-29-cases	1	0	0	1	Senegal-cases-2014-10-29
Nigeria	2014-09-08	cases	2014-09-08-cases	19	1	1	21	Nigeria-cases-2014-09-08
Sierra Leone	2014-12-24	cases	2014-12-24-cases	7017	287	1700	9004	Sierra Leone-cases-2014-12-24
United Kingdom	2015-03-04	deaths	2015-03-04-deaths	0	0	0	0	United Kingdom-deaths-2015-03-04
Nigeria	2014-10-29	deaths	2014-10-29-deaths	7	1	0	8	Nigeria-deaths-2014-10-29
United States of America	2014-11-07	deaths	2014-11-07-deaths	1	0	0	1	United States of America-deaths-2014-11-07
Spain	2015-01-21	cases	2015-01-21-cases	1	0	0	1	Spain-cases-2015-01-21
Mali	2015-03-06	deaths	2015-03-06-deaths	0	0	0	6	Mali-deaths-2015-03-06
Nigeria	2015-02-13	cases	2015-02-13-cases	19	1	0	20	Nigeria-cases-2015-02-13
United States of America	2014-12-17	cases	2014-12-17-cases	4	0	0	4	United States of America-cases-2014-12-17
Spain	2015-02-16	cases	2015-02-16-cases	1	0	0	1	Spain-cases-2015-02-16
Liberia	2015-02-20	cases	2015-02-20-cases	3152	1882	4062	9096	Liberia-cases-2015-02-20
United Kingdom	2015-02-05	deaths	2015-02-05-deaths	0	0	0	0	United Kingdom-deaths-2015-02-05
United States of America	2015-02-26	cases	2015-02-26-cases	4	0	0	4	United States of America-cases-2015-02-26
Senegal	2015-02-20	deaths	2015-02-20-deaths	0	0	0	0	Senegal-deaths-2015-02-20
Liberia	2014-10-31	deaths	2014-10-31-deaths	0	0	0	2413	Liberia-deaths-2014-10-31
Senegal	2015-02-13	deaths	2015-02-13-deaths	0	0	0	0	Senegal-deaths-2015-02-13
Liberia	2014-11-12	deaths	2014-11-12-deaths	0	466	0	2836	Liberia-deaths-2014-11-12
Guinea	2015-02-11	cases	2015-02-11-cases	2674	352	18	3044	Guinea-cases-2015-02-11
Liberia	2014-10-10	cases	2014-10-10-cases	943	1874	1259	4076	Liberia-cases-2014-10-10
United Kingdom	2015-01-19	cases	2015-01-19-cases	1	0	0	1	United Kingdom-cases-2015-01-19
Guinea	2015-02-27	cases	2015-02-27-cases	2790	392	8	3190	Guinea-cases-2015-02-27
Guinea	2014-10-25	deaths	2014-10-25-deaths	732	194	0	926	Guinea-deaths-2014-10-25
Senegal	2014-11-26	deaths	2014-11-26-deaths	0	0	0	0	Senegal-deaths-2014-11-26
Nigeria	2015-01-29	deaths	2015-01-29-deaths	7	1	0	8	Nigeria-deaths-2015-01-29
Mali	2015-01-28	cases	2015-01-28-cases	7	1	0	8	Mali-cases-2015-01-28
Liberia	2015-01-29	cases	2015-01-29-cases	3138	1864	3641	8643	Liberia-cases-2015-01-29
Spain	2014-11-07	deaths	2014-11-07-deaths	0	0	0	0	Spain-deaths-2014-11-07
Liberia	2015-01-23	cases	2015-01-23-cases	3136	1854	3534	8524	Liberia-cases-2015-01-23
Guinea	2014-10-17	cases	2014-10-17-cases	1217	191	111	1519	Guinea-cases-2014-10-17
Mali	2015-01-07	deaths	2015-01-07-deaths	0	0	0	6	Mali-deaths-2015-01-07
United States of America	2015-02-27	deaths	2015-02-27-deaths	1	0	0	1	United States of America-deaths-2015-02-27
Sierra Leone	2014-11-14	cases	2014-11-14-cases	4683	79	824	5586	Sierra Leone-cases-2014-11-14
United Kingdom	2015-02-17	cases	2015-02-17-cases	1	0	0	1	United Kingdom-cases-2015-02-17
Liberia	2015-03-06	cases	2015-03-06-cases	3150	1877	4222	9249	Liberia-cases-2015-03-06
Mali	2015-02-02	deaths	2015-02-02-deaths	0	0	0	6	Mali-deaths-2015-02-02
Nigeria	2015-01-30	deaths	2015-01-30-deaths	7	1	0	8	Nigeria-deaths-2015-01-30
Sierra Leone	2015-01-14	deaths	2015-01-14-deaths	2696	208	158	3062	Sierra Leone-deaths-2015-01-14
Guinea	2015-01-09	deaths	2015-01-09-deaths	1515	282	0	1797	Guinea-deaths-2015-01-09
Mali	2015-01-29	cases	2015-01-29-cases	7	1	0	8	Mali-cases-2015-01-29
Nigeria	2015-02-17	cases	2015-02-17-cases	19	1	0	20	Nigeria-cases-2015-02-17
Senegal	2015-02-10	cases	2015-02-10-cases	1	0	0	1	Senegal-cases-2015-02-10
Senegal	2014-12-15	deaths	2014-12-15-deaths	0	0	0	0	Senegal-deaths-2014-12-15
Guinea	2015-01-07	deaths	2015-01-07-deaths	1499	344	0	344	Guinea-deaths-2015-01-07
Nigeria	2014-09-26	cases	2014-09-26-cases	19	1	0	20	Nigeria-cases-2014-09-26
