country	date	category	type	confirmed	probable	suspected	total	label
Liberia	2014-12-26	cases	2014-12-26-cases	3085	1757	3020	7862	Liberia-cases-2014-12-26
Sierra Leone	2015-01-30	deaths	2015-01-30-deaths	2850	208	158	3216	Sierra Leone-deaths-2015-01-30
Nigeria	2014-09-16	deaths	2014-09-16-deaths	7	1	0	8	Nigeria-deaths-2014-09-16
Spain	2015-01-23	deaths	2015-01-23-deaths	0	0	0	0	Spain-deaths-2015-01-23
Senegal	2014-12-15	cases	2014-12-15-cases	1	0	0	1	Senegal-cases-2014-12-15
Liberia	2014-10-15	cases	2014-10-15-cases	950	1923	1376	4249	Liberia-cases-2014-10-15
Spain	2015-02-10	deaths	2015-02-10-deaths	0	0	0	0	Spain-deaths-2015-02-10
Senegal	2014-12-17	deaths	2014-12-17-deaths	0	0	0	0	Senegal-deaths-2014-12-17
Mali	2015-01-05	cases	2015-01-05-cases	7	1	0	8	Mali-cases-2015-01-05
Nigeria	2015-01-14	cases	2015-01-14-cases	19	1	0	20	Nigeria-cases-2015-01-14
Guinea	2015-01-21	deaths	2015-01-21-deaths	1557	319	0	1876	Guinea-deaths-2015-01-21
Senegal	2015-03-04	cases	2015-03-04-cases	1	0	0	1	Senegal-cases-2015-03-04
Senegal	2014-12-30	deaths	2014-12-30-deaths	0	0	0	0	Senegal-deaths-2014-12-30
Mali	2015-01-13	deaths	2015-01-13-deaths	0	0	0	6	Mali-deaths-2015-01-13
Spain	2014-11-07	cases	2014-11-07-cases	1	0	0	1	Spain-cases-2014-11-07
Mali	2015-01-22	deaths	2015-01-22-deaths	0	0	0	6	Mali-deaths-2015-01-22
United Kingdom	2015-01-13	deaths	2015-01-13-deaths	0	0	0	0	United Kingdom-deaths-2015-01-13
Mali	2015-01-19	deaths	2015-01-19-deaths	0	0	0	6	Mali-deaths-2015-01-19
Senegal	2014-09-16	deaths	2014-09-16-deaths	0	0	0	0	Senegal-deaths-2014-09-16
United Kingdom	2015-01-19	deaths	2015-01-19-deaths	0	0	0	0	United Kingdom-deaths-2015-01-19
Sierra Leone	2015-03-04	deaths	2015-03-04-deaths	3164	208	158	3530	Sierra Leone-deaths-2015-03-04
Guinea	2015-01-13	cases	2015-01-13-cases	2508	284	7	2799	Guinea-cases-2015-01-13
Mali	2014-12-31	cases	2014-12-31-cases	7	1	0	8	Mali-cases-2014-12-31
Liberia	2015-02-03	deaths	2015-02-03-deaths	0	0	0	3739	Liberia-deaths-2015-02-03
Senegal	2015-02-20	cases	2015-02-20-cases	1	0	0	1	Senegal-cases-2015-02-20
Mali	2015-01-15	cases	2015-01-15-cases	7	1	0	8	Mali-cases-2015-01-15
United Kingdom	2015-02-12	cases	2015-02-12-cases	1	0	0	1	United Kingdom-cases-2015-02-12
Sierra Leone	2014-12-26	deaths	2014-12-26-deaths	2289	208	158	2655	Sierra Leone-deaths-2014-12-26
Sierra Leone	2014-10-08	deaths	2014-10-08-deaths	725	123	31	879	Sierra Leone-deaths-2014-10-08
Guinea	2015-02-23	deaths	2015-02-23-deaths	1699	387	0	2086	Guinea-deaths-2015-02-23
Sierra Leone	2015-01-27	cases	2015-01-27-cases	7968	287	2263	10518	Sierra Leone-cases-2015-01-27
Guinea	2014-09-12	cases	2014-09-12-cases	678	151	32	65	Guinea-cases-2014-09-12
United Kingdom	2015-02-27	cases	2015-02-27-cases	1	0	0	1	United Kingdom-cases-2015-02-27
Mali	2015-03-06	cases	2015-03-06-cases	7	1	0	8	Mali-cases-2015-03-06
Guinea	2015-02-25	deaths	2015-02-25-deaths	1704	387	0	2091	Guinea-deaths-2015-02-25
Sierra Leone	2014-11-21	deaths	2014-11-21-deaths	1058	174	35	1267	Sierra Leone-deaths-2014-11-21
Mali	2015-01-09	cases	2015-01-09-cases	7	1	0	0	Mali-cases-2015-01-09
Spain	2015-01-26	deaths	2015-01-26-deaths	0	0	0	0	Spain-deaths-2015-01-26
Guinea	2015-01-30	cases	2015-01-30-cases	2575	332	13	2920	Guinea-cases-2015-01-30
United States of America	2015-01-14	cases	2015-01-14-cases	4	0	0	4	United States of America-cases-2015-01-14
Spain	2015-02-13	deaths	2015-02-13-deaths	0	0	0	0	Spain-deaths-2015-02-13
Mali	2015-03-04	deaths	2015-03-04-deaths	0	0	0	6	Mali-deaths-2015-03-04
Spain	2014-10-25	deaths	2014-10-25-deaths	0	0	0	0	Spain-deaths-2014-10-25
Guinea	2015-02-13	cases	2015-02-13-cases	2693	373	15	3081	Guinea-cases-2015-02-13
Liberia	2014-10-17	deaths	2014-10-17-deaths	0	0	0	2484	Liberia-deaths-2014-10-17
Nigeria	2014-10-31	cases	2014-10-31-cases	19	1	0	20	Nigeria-cases-2014-10-31
Mali	2015-03-02	deaths	2015-03-02-deaths	0	0	0	6	Mali-deaths-2015-03-02
Liberia	2014-12-29	deaths	2014-12-29-deaths	0	0	0	3413	Liberia-deaths-2014-12-29
Mali	2015-01-29	deaths	2015-01-29-deaths	0	0	0	6	Mali-deaths-2015-01-29
Senegal	2014-09-18	deaths	2014-09-18-deaths	0	0	0	0	Senegal-deaths-2014-09-18
Nigeria	2014-09-16	cases	2014-09-16-cases	19	1	1	38	Nigeria-cases-2014-09-16
Nigeria	2014-12-22	deaths	2014-12-22-deaths	7	1	0	8	Nigeria-deaths-2014-12-22
